Count	Name	Example1	Example2	Example3	Example4	Example5
16	York University	York University, goldenrod	York University, winter	York University residences	Art Department, York University	York University
16	Small's Pond	Small's Pond — panorama	Small's Pond area looking south from Maughan Crescent	Small's Pond — panorama	Small's Pond area looking north to Ashbridge Avenue	Small's Pond looking east to Edgewood Avenue
16	Don Roadway	Electrolisis of water main, Don Roadway north of Gerrard	Don Roadway west side north of Queen Street	Eastern Avenue at the Don River looking east to Don Roadway	Looking south on Don Roadway from under Gardiner	Street railway, harbour industrial district, construction south from Front Street on Don Roadway
16	Woodbine Race Track	Royal procession entering Woodbine Race Track	Crowds watching the Royal procession leave Woodbine Race Track	Royal procession leaving Woodbine Race Track	Royal procession exiting Woodbine Race Track	Crowds watching the Royal procession leave Woodbine Race Track
16	Birchview Crescent	Birchview Crescent	Birchview Crescent	Birchview Crescent	Birchview Crescent	Birchview Crescent
16	Princess Street Park	Princess Street Park looking north-west	Princess Street Park looking north-west	Princess Street Park looking south-west	Princess Street Park looking north-west	Princess Street Park looking south-west
16	St. Patrick's Market	Looking south from St. Patrick's Market on Queen West	Looking south beside St. Patrick's Market on Queen West	Looking south down St. Patrick's Market to Queen	Looking south from St. Patrick's Market on Queen West	Looking north from St. Patrick's Market as A. Stork and Sons Ltd. on Queen West
16	Administration Building	Ontario Agricultural College : Administration Building, Guelph, Ontario	Administration Building	Administration Building at the Island Filtration Plant	Ryerson School, Administration Building	Colonel K.R. Marshall, President, CNE, Governor General Alexander, and other officials on steps of Administration Building at opening of CNE
16	Bond St Temple	Bond St Temple - view west from Church St at Dundas	Bond St Temple at Dundas St	Bond St Temple at Bond St	Bond St Temple - Dundas St view, gargoyles sold	Bond St Temple - view from Dundas St E
16	Street Cleaning Department Head	Street Cleaning Department Head	Street Cleaning Department Head	Street Cleaning Department Head	Street Cleaning Department Head	Street Cleaning Department Head
16	Ontario Place Forum	Andrew Davis and the Toronto Symphony with mezzo-soprano Sandra Graham for the Last Night of the Proms concert at the Ontario Place Forum	Walter Susskind, guest conductor, and the Toronto Symphony at the Ontario Place Forum	Audience at Ontario Place Forum	Julio Iglesias at Ontario Place Forum	Erich Kunzel conducting the Toronto Symphony for The Best of Broadway concert at the Ontario Place Forum
16	Queen's Park Cres.	Corner of Queen's Park Cres. and Wellesley, looking south-west	Corner of Queen's Park Cres. and Wellesley, looking south-east	Corner of Queen's Park Cres. walkway, looking east	Corner of Queen's Park Cres., looking north-west	Corner of Queen's Park Cres. and Wellesley, looking north-west
16	Lord Allenby	Lord Allenby, head & shoulders	Lord Allenby, Lady Allenby & Gen. A. H. Bell	Lord Allenby, guard of house inside station	Lord Allenby, talking with Hon. Vincent Massey	Lord Allenby, in Sick Children's Hospital
16	St Paul's Basilica	St Paul's Basilica - view from Power St	St Paul's Basilica - Bishop Power monument	St Paul's Basilica - looking west on Queen, from Sackville	St Paul's Basilica - view from Queen St E, across Sackville	St Paul's Basilica - front exterior
16	Hurricane Hazel	Hurricane Hazel flood damage	Swollen Humber River after Hurricane Hazel	Hurricane Hazel flood damage	Hurricane Hazel flood damage	Hurricane Hazel flood damage
16	Ryerson Press	Ryerson Press building	Ryerson Press building at Richmond and John	Ryerson Press building at John St and Richmond	Ryerson Press building at John and Richmond	Ryerson Press building
16	Eglinton Bridge	Official opening of Eglinton Bridge	Official opening of Eglinton Bridge	Official opening of Eglinton Bridge	Official opening of Eglinton Bridge	Official opening of Eglinton Bridge
16	Victory Bond	Audience watching the "Human Fly" in Victory Bond parade, King Street West	"Raffles" the escape artist at Victory Bond rally, City Hall	Victory Bond parade	"Raffles" the escape artist being put into a straitjacket at Victory Bond rally, City Hall	Victory Bond rally, City Hall
16	Queen's Own Rifles	4th section, No. 1 Company, Queen's Own Rifles	Queen's Own Rifles, St. Paul's Church, Bloor Street East	Last day at CNE camp for 19th Battalion of Queen's Own Rifles	Sir Henry Pellatt in Queen's Own Rifles uniform and Mohawk clothing, CNE Grandstand	Sir Henry Pellatt and group at Queen's Own Rifles reunion
16	Sutton Horse Show	Sutton Horse Show, [Blond] Lady, Miss Jean Curry, jump	Sutton Horse Show, Ann Radcliffe, Eastbourne, "Lady Betty"	Sutton Horse Show, "After [Me]", Frank O'Connor, Toronto, jump	Sutton Horse Show, Sutton Handicap Steeplechase, jump	Sutton Horse Show, "Montreal", W. A. Kilgour, jump
16	Wells Hill	St. Clair Avenue - Wells Hill bridge, construction	St. Clair - Wells Hill bridge looking east along St. Clair Avenue	St Clair Ave, east, from Wells Hill, (Way Department)	Wrecked car, Wells Hill and Saint Clair, left car fender and wheel	St. Clair - Wells Hill bridge
16	Ontario Premier Leslie Frost	Ontario Premier Leslie Frost at microphones at official opening of Yonge Street subway	Ontario Premier Leslie Frost (left) and Toronto Mayor Allan Lamport pull switch to change signal and open the Yonge Street subway	Ontario Premier Leslie Frost (left) and Mayor Allan Lamport pull switch to change signal and open the Yonge Street subway	Ontario Premier Leslie Frost unveils plaque, official opening of Yonge Street subway	Ontario Premier Leslie Frost unveils plaque, official opening of Yonge Street subway
16	Hoover Suction Sweeper	Hoover Suction Sweeper	Hoover Suction Sweeper	Hoover Suction Sweeper	Hoover Suction Sweeper	Hoover Suction Sweeper
16	Royal Bank Building	Aerial view northeast from Royal Bank Building	Skyline of City of Toronto from Royal Bank Building	Close up of 968, waterfront from top of Royal Bank Building	Aerial view of Toronto west from Royal Bank Building	Waterfront from Royal Bank Building
16	Traffic Department	Uniform, straw cap, Gray Coach Lines, (Traffic Department)	Uniform, straw cap, sightseeing, (Traffic Department)	Improved transfer holder, (Traffic Department)	Weston Police badge, (Traffic Department)	Improved transfer holder, (Traffic Department)
16	East Toronto	Aerial shots, East Toronto	Lower Water Tank — East Toronto pumping station	Beach, East Toronto	Lower Water Tank — East Toronto pumping station	Lower Water Tank — East Toronto pumping station
16	Rondeau Park	Rondeau Park, Miss Margaret McCrimmon in water	Rondeau Park, general scene on beach	Rondeau Park, general scene on beach	Rondeau Park, general group on steps	Rondeau Park, cottage with group
16	Kilgour Park	Kilgour Park	Entrance to Kilgour Park	Kilgour Park	Kilgour Park	Kilgour Park
16	St. Clair Avenue Widening	St. Clair Avenue Widening — trees, east of Avenue Road	St. Clair Avenue Widening — Ford Street	St. Clair Avenue Widening — Trees north side St. Clair Avenue east of Avenue Road	St. Clair Avenue Widening — trees	St. Clair Avenue Widening — trees
16	Fenelon Falls	Fenelon Falls, bathing group, self	Dam and lock, Fenelon Falls	Fenelon Falls, bathing group, sitting	Fenelon Falls, Pauline Lahey	Fenelon Falls, Pauline Lahey, Mr and Mrs. Ross Christie, by canoe
16	St. Michael's Cemetery	St. Michael's Cemetery looking north-west	St. Michael's Cemetery	St. Michael's Cemetery	Driveway to St. Michael's Cemetery	St. Michael's Cemetery looking north-east
16	Dundas East	Diagram of Dundas East east of Yonge	Dundas East [?]	Dundas East at Dalhousie looking east	Diagram of Dundas East east of Yonge	Diagram of Dundas East east of Yonge
16	Keating Channel	East end of Keating Channel, looking south-west	View of the Leadale at the Keating Channel	Keating Channel looking west	East end of Keating Channel, looking south-west	East end of Keating Channel, looking south-west
16	Prime Minister Louis St. Laurent	Ett Phillips (left), wife of Mayor Nathan Phillips, with Mrs. Hugh O'Donnell, daughter of Prime Minister Louis St. Laurent, in mayor's office, Old City Hall, at civic reception for prime minister	Harry C. Hindmarsh of the Toronto Star and Prime Minister Louis St. Laurent	Rabbi Abraham Feinberg (left), James C. Cardinal McGuigan (centre) and Prime Minister Louis St. Laurent in mayor's office, Old City Hall, at civic reception for prime minister	Prime Minister Louis St. Laurent addressing audience at Empire Club, Royal York Hotel	Prime Minister Louis St. Laurent addressing audience at Empire Club, Royal York Hotel
16	Symes Road Incinerator	Symes Road Incinerator	Symes Road Incinerator 	Symes Road Incinerator 	Symes Road Incinerator	Symes Road Incinerator
16	St. Catharines	Tomato field near St. Catharines	Mill race, St. Catharines	Toronto, St. Catharines transport	St. Catharines	Tomato field near St. Catharines
16	TSYO	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal	Toronto Symphony Youth Orchestra (TSYO) performing in MacMillan Theatre, University of Toronto	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal	Toronto Symphony Youth Orchestra (TSYO) 2nd annual camp at Bolton Camp, Bolton, Ontario
16	Information Technology	Looking south-east from site of Bahen Centre for Information Technology 	Looking east from site of Bahen Centre for Information Technology 	Looking west from site of Bahen Centre for Information Technology 	Looking west from site of Bahen Centre for Information Technology 	Looking south-east from site of Bahen Centre for Information Technology 
15	Roncesvalles Car House	Trainmen, Roncesvalles Car House, (Coupler magazine)	Roncesvalles Car House, tail track, east side - looking n.	Roncesvalles Car House and office building (B)	Roncesvalles Car House, office building, men's lavatory	Roncesvalles Car House, from Sunnyside Ave, A
15	Snow Blower	Snow Blower	Snow Blower	Snow Blower	Snow Blower	Snow Blower
15	Colborne Lodge	Rear view of Colborne Lodge, overlooking lawn	Howard house - Colborne Lodge - front and back 	View of greenhouse at Colborne Lodge	Colborne Lodge	Colborne Lodge, High Park, southeast elevation
15	Albert Streets	View of burnt Eaton's Bargain Centre and warehouse, from James and Albert Streets	View of crowd gathered at Bay & Albert Streets, in front of Old City Hall	View of Queen Street Eaton's store just prior to demolition, from James and Albert Streets	View of Salvation Army at James and Albert Streets	Full view of burnt building at Bay and Albert Streets
15	Gray Lines	Gray Lines coach, displaying markers - chartered, (Commercial Department)	Gray Lines coach, colour scheme adopted, (Motor Coach Department)	Gray Lines coach, Toronto-Detroit, (Garage Department)	Gray Lines coach, Toronto-Detroit, (Garage Department)	Gray Lines coach #633, "White model 54 A," (Garage Department)
15	Chaplin Cres.	Parcel of land required to widen Chaplin Cres. at Eglinton Ave. W.	Forest Hill Village Works Garage, 329 Chaplin Cres., designed to house trucks, street sweepers, compressors, etc.	Forest Hill Village Works Garage, 329 Chaplin Cres., designed to house trucks, street sweepers, compressors, etc.	Construction of retaining wall on railway lands, Chaplin Cres. north of Eglinton Ave. W.	Incinerator Plant at Roselawn Ave. and Chaplin Cres., north-west corner, looking north-west
15	P.W. Ellis	P.W. Ellis funeral, TTC men marching	P.W. Ellis funeral, general scene at church	P.W. Ellis funeral, line of TTC men	P.W. Ellis funeral, mourners, Tolchard, Wright, Ellis, etc.	P.W. Ellis funeral, casket leaving church
15	Motor Traffic Department	Fleet of new twin coaches, Toronto Transportation Commission, (Motor Traffic Department)	Ford V8, Gray Coach Lines service (Motor Traffic Department)	Coach #611, General Motors Corporation, 33 passenger, Davenport Garage, (Motor Traffic Department)	Gray Coach Lines display windows, T.T.C. head office building, Front and Yonge, (Motor Traffic Department)	Coach #611, General Motors Corporation, 33 passenger, Davenport Garage, (Motor Traffic Department)
15	Richmond West	Richmond West looking west to Peter	Brokerage raids, D.S. Paterson and Company office, 25 Richmond West	Plan for Richmond West	Demolition of unidentified building, possibly on Richmond West, looking east	Richmond West looking west to Peter
15	St. Andrew's Playground	St. Andrew's Playground — dancing	St. Andrew's Playground — exercises	St. Andrew's Playground — Maypole dancing	St. Andrew's Playground — dancing	St. Andrew's Playground — children
15	Red Cross	Red Cross salvage - eastern yard	Red Cross, Mrs. Plumptre and Miss Franklin	War Loan parade, Red Cross drivers	Donation of ambulance to Red Cross = Donation of abulance to Red Cross?	Red Cross, Northern Ontario Xmas [Christmas] supplies
15	Actor Diana Lynn	Actor Diana Lynn and group in screening room	Actor Diana Lynn and group in screening room	Actor Diana Lynn at a piano	Actor Diana Lynn and group at dinner	Actor Diana Lynn and group in screening room
15	Miss Aidrie Main	Miss Aidrie Main, 35 Aberdeen Avenue, Westmont, Monteral, skating, action	Miss Aidrie Main, 35 Aberdeen Avenue, Westmont, Monteral, skating, action	Miss Aidrie Main, 35 Aberdeen Avenue, Westmont, Monteral, skating, action	Miss Aidrie Main, 35 Aberdeen Avenue, Westmont, Monteral, skating, action	Miss Aidrie Main, 35 Aberdeen Avenue, Westmont, Monteral, skating, action
